District IRN,District Name,County,Region,Address,"City, State, Zip",Phone,Superintendent,Enrollment 2016-2017,Letter Grade of Achievement Component,Letter Grade of Percent Standards,Gifted Indicator Met/Not Met Status,Percent of Standards Met,Letter Grade of Performance Index,Performance Index Percent,Letter Grade of AMO,AMO Points,Letter Grade of K3 Literacy,K3 Literacy Percent,Letter Grade of Progress Component,Letter Grade of Overall Value Added,Overall Value Added Gain Index,Letter Grade of Gifted Value Added,Gifted Value Added Gain Index,Letter Grade of Students with Disabilities Value Added,Students with Disabilities Value Added Gain Index,Letter Grade of Lowest 20% Value Added,Lowest 20% Value Added Gain Index,Letter Grade of High Mobility Value Added,High Mobility Value Added Gain Index,Letter Grade of Grad Rate Component,Letter Grade of 4Year Grad Rate 2016,4 Year Grad Rate 2016,Letter Grade of 5 Year Grad Rate 2015,5 Year Grad Rate 2015,Letter Grade of Prepared for Success Component,Percent of Prepared for Success Component,Attendance Rate 2016-2017,Attendance Rate 2015-2016,Attendance Rate 2014-2015,Chronic Absenteeism Percent 2016-2017,Watermark
000442,Manchester Local,Adams,Region 14,130 Wayne Frye Dr,"Manchester, OH, 45144-9314",(937) 549-4777,Brian E. Rau,886,D,F,Not Met,8.3,C,72.7,F,50.6,B,50.0,A,A,9.9,NR,NC,B,1.0,A,5.0,NR,NC,A,A,95.4,A,98.0,F,21.0,94.4,95.0,94.6,11.7,
043489,Akron City,Summit,Region 8,70 N Broadway St,"Akron, OH, 44308-1911",(330) 761-1661,David W. James,21395,D,F,Not Met,0.0,D,55.4,F,5.9,C,25.0,F,F,-52.4,F,-10.6,F,-28.0,F,-29.5,NR,NC,F,F,74.3,D,80.4,F,19.0,92.6,93.4,93.1,22.4,
043497,Alliance City,Stark,Region 9,200 Glamorgan St,"Alliance, OH, 44601-2946",(330) 821-2100,Jeffery S. Talbert,2945,D,F,Not Met,4.2,D,61.7,F,38.5,C,38.2,D,F,-11.4,C,-0.9,F,-4.3,F,-8.2,NR,NC,C,C,88.6,D,84.5,D,30.5,93.9,94.5,93.9,18.5,
043505,Ashland City,Ashland,Region 7,PO Box 160,"Ashland, OH, 44805-0160",(419) 289-1117,Douglas J. Marrah,3206,D,F,Not Met,12.0,C,74.9,D,66.4,A,83.6,B,A,3.0,A,3.8,C,0.3,C,0.6,NR,NC,A,A,94.2,A,96.7,C,47.9,94.5,94.7,95.0,12.7,
043513,Ashtabula Area City,Ashtabula,Region 5,2630 W 13th St,"Ashtabula, OH, 44004-2405",(440) 992-1201,Melissa D. Watson,3542,D,F,Not Met,0.0,D,59.1,F,15.3,NR,NC,D,F,-11.8,C,-0.7,F,-5.1,F,-3.7,NR,NC,F,F,78.6,D,80.8,F,16.6,92.7,93.2,93.1,23.1,
043521,Athens City,Athens,Region 16,25 S Plains Rd,"The Plains, OH, 45780-1333",(740) 797-4516,Thomas J. Gibbs,2624,D,F,Not Met,12.0,C,74.7,C,72.5,D,11.9,B,B,1.4,C,0.9,D,-2.0,C,0.9,NR,NC,B,B,89.1,B,91.5,C,50.9,94.2,94.1,94.5,13.7,
043539,Barberton City,Summit,Region 8,479 Norton Ave,"Barberton, OH, 44203-1737",(330) 753-1025,Jeffrey M. Ramnytz,3666,D,F,Not Met,4.2,D,64.5,F,29.4,C,32.2,F,F,-16.1,F,-4.2,F,-7.7,F,-7.2,NR,NC,C,C,86.7,C,87.8,D,27.1,92.2,92.8,92.5,24.7,
043547,Bay Village City,Cuyahoga,Region 3,377 Dover Center Rd,"Bay Village, OH, 44140-2304",(440) 617-7300,Clinton L. Keener,2450,B,A,Not Met,91.7,B,87.7,B,87.3,B,52.8,A,A,9.3,A,8.2,A,2.9,B,1.5,NR,NC,A,A,98.3,A,97.2,B,80.3,95.9,96.3,96.0,5.7,
043554,Beachwood City,Cuyahoga,Region 3,24601 Fairmount Blvd,"Beachwood, OH, 44122-2298",(216) 464-2600,Robert P. Hardis,1366,A,A,Met,100.0,B,89.5,B,81.2,NR,NC,A,A,13.1,A,11.6,B,1.3,NR,NC,NR,NC,A,A,97.6,A,96.6,B,70.7,94.8,95.7,95.4,12.0,
043562,Bedford City,Cuyahoga,Region 3,475 Northfield Rd,"Bedford, OH, 44146-2201",(440) 439-1500,Andrea Celico,3213,D,F,Not Met,0.0,D,62.0,F,34.9,C,24.6,F,F,-11.6,F,-2.5,F,-6.6,F,-3.4,NR,NC,C,C,84.0,C,87.6,F,17.2,94.8,95.1,95.3,12.9,
