"District","IRN","District Square Mileage FY13","District Pupil Density FY13","District Total Average Daily Membership FY13","District Total Year-End Enrollment FY13","District Asian Students As % Of Total FY13","District Black Students As % Of Total FY13","District American Indian/ Alaskan Native Students As % Of Total FY13","District Hispanic Students As % Of Total FY13","District White Students As % Of Total FY13","District Multiracial Students As % Of Total FY13","District Percent Of Students In Poverty FY13","District Percent Of Students With Limited English Proficiency FY13","District Percent Of Students With Disability FY13","District Classroom Teacher Average Salary FY13","District Percent Of Teachers With 0-4 Years Experience FY13","District Percent Of Teachers With 4-10 Years Experience FY13","District Percent Of Teachers With 10+ Years Experience FY13","District K-12 Regular Education Pupil Teacher Ratio FY08","District FTE Number Of Administrators FY13","District Administrator Average Salary FY13","District Pupil Administrator Ratio FY13","District Assessed Valuation Per Pupil FY14","District Res/Agr Real Valuation As % Of Total FY14","District All Other Real Valuation As % Of Total FY14","District Public Utility Tangible Valuation As % Of Total FY14","District Business Valuation As % Of Total FY14","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY14","District Total Property Tax Per Pupil FY14","District Rollback Homestead Per Pupil FY13","District OSFC 3-Year Valuation Per Pupil FY14","District Ranking Of OSFC Valuation Per Pupil FY14","District Median Income TY11","District Average Income TY11","District Current Operating Millage Incl JVS FY14","District Class 1 Effective Millage Incl JVS FY14","District Class 2 Effective Millage Incl JVS FY14","District Inside Millage FY14","District Income Tax Per Pupil FY13","District Local Tax Effort Index FY13","District Administrative Expenditure Per Pupil FY13","District Building Operation Expenditure Per Pupil FY13","District Instructional Expenditure Per Pupil FY13","District Pupil Support Expenditure Per Pupil FY13","District Staff Support Expenditure Per Pupil FY13","District Total Expenditure Per Pupil FY13","District State Revenue Per Pupil FY13","District State Revenue As % Of Total FY13","District Local Revenue Per Pupil FY13","District Local Revenue As % Of Total FY13","District Other Non-Tax Revenue Per Pupil FY13","District Othe Non-Tax Revenue as % of Total FY13","District Federal Revenue Per Pupil FY13","District Federal Revenue As % Of Total FY13","District Total Revenue Per Pupil FY13","District Formula Funding Per Pupil FY13","District Formula Funding As % Of Income Tax Liability FY13","District Salaries As % Of Operating Expenditures FY13","District Fringe Benefits As % Of Operating Expenditures FY13","District Purchased Services As % Of Operating Expenditures FY13","District Supplies & Materials As % Of Operating Expenditures FY13","District Other Expenses As % Of Operating Expenditures FY13"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ada Ex Vill SD, Hardin","45187.0","43.0","20.76","892.81","895.11","0.0098","0.0163","0.0","0.0119","0.9495","0.0125","0.328","0.0123","0.0942","50576.76","0.3774","0.0943","0.5283","17.85","9.2","67227.28","95.55","103302.79","0.8385","0.1272","0.0343","0.1615","103.3","2311.97","394.41","96837.96","146.0","30105.0","45373.0","38.5","21.72","22.41","5.9","886.9","1.0551","1203.63","1724.62","5314.12","354.42","184.23","8781.0","4682.11","0.5158","2827.93","0.3115","964.29","0.1062","603.37","0.0665","9077.69","4235.4","1.3394","0.5712","0.2356","0.1393","0.0189","0.0351"
"Adena Local SD, Ross","49494.0","128.0","9.52","1218.66","1216.12","0.0008","0.0187","0.0011","0.0028","0.9407","0.0358","0.4393","0.0","0.1136","53215.46","0.1111","0.254","0.6349","19.43","10.0","68623.2","116.36","94484.31","0.9196","0.0429","0.0376","0.0804","94.48","2204.39","290.23","90595.23","113.0","33334.0","44865.0","38.0","22.65","24.98","4.1","168.81","0.8601","1123.02","1740.89","5015.48","275.54","241.07","8396.0","5822.63","0.617","1875.28","0.1987","968.88","0.1027","770.06","0.0816","9436.86","5235.57","1.9229","0.5472","0.216","0.1886","0.0368","0.0115"
"Akron City SD, Summit","43489.0","55.0","498.96","27442.92","21858.04","0.0466","0.4592","0.0011","0.0319","0.3884","0.0727","0.9998","0.0481","0.1918","62947.12","0.155","0.176","0.669","16.84","142.0","84278.14","193.26","88083.25","0.7016","0.2586","0.0398","0.2984","88.08","4793.64","517.01","93952.63","134.0","24287.0","36847.0","76.0","50.44","61.92","4.2","0.0","1.4088","1841.24","2413.53","7639.98","926.55","561.7","13383.0","7982.17","0.5243","4441.35","0.2917","728.14","0.0478","2072.56","0.1361","15224.22","4237.26","1.7716","0.5105","0.229","0.2264","0.0225","0.0116"
"Alexander Local SD, Athens","45906.0","174.0","9.54","1659.83","1618.33","0.0","0.0031","0.0006","0.0037","0.9704","0.0221","0.5139","0.0","0.1817","50618.03","0.1802","0.2613","0.5586","17.35","8.76","79946.55","184.77","115741.09","0.7604","0.0494","0.1902","0.2396","115.74","2899.83","315.25","111870.47","234.0","31255.0","45895.0","37.0","22.07","25.04","3.9","0.0","0.6843","1123.04","2143.48","5255.65","340.77","164.08","9027.0","6381.8","0.5881","2521.9","0.2324","937.08","0.0864","1010.51","0.0931","10851.28","5753.97","1.778","0.4995","0.1935","0.2311","0.0544","0.0215"
"Allen East Local SD, Allen","45757.0","73.0","14.99","1094.39","1134.66","0.0019","0.0075","0.0007","0.0118","0.9695","0.0085","0.3787","0.0","0.1022","47648.89","0.209","0.209","0.5821","18.19","5.0","73508.2","210.99","103115.68","0.9201","0.034","0.0459","0.0799","103.12","2566.46","411.32","104186.77","187.0","34922.0","48004.0","31.65","24.55","24.88","5.05","0.0","0.7377","1064.65","1706.04","4160.47","319.89","227.94","7479.0","4668.65","0.5611","2085.84","0.2507","1017.55","0.1223","548.81","0.066","8320.86","4240.63","1.3403","0.5633","0.209","0.1733","0.0322","0.0223"
"Alliance City SD, Stark","43497.0","12.0","263.56","3162.74","2826.47","0.0068","0.1263","0.0007","0.023","0.7133","0.1299","0.7782","0.0042","0.1809","50977.04","0.364","0.1464","0.4895","19.43","29.34","59049.2","107.8","70288.09","0.6855","0.2641","0.0504","0.3145","70.29","2403.61","356.62","75185.09","56.0","23491.0","36528.0","55.6","31.82","36.27","3.8","0.0","0.8703","1266.91","1900.59","6522.17","484.67","312.68","10487.0","7049.27","0.5949","2304.22","0.1945","820.14","0.0692","1675.31","0.1414","11848.94","5142.88","2.3145","0.5774","0.2076","0.1769","0.0275","0.0107"
"Amanda-Clearcreek Local SD, Fairfield","46847.0","98.0","16.85","1651.25","1699.61","0.0024","0.0065","0.0012","0.0077","0.9721","0.0102","0.3791","0.0","0.1145","47040.07","0.1837","0.2143","0.602","18.67","14.43","62645.25","110.72","92435.68","0.933","0.035","0.032","0.067","92.44","2079.77","284.34","91769.92","122.0","34510.0","47921.0","37.0","22.02","22.03","4.7","899.91","1.1353","993.37","1903.05","4580.08","383.55","96.93","7957.0","5634.21","0.5753","2475.12","0.2527","1018.23","0.104","666.34","0.068","9793.9","5683.55","1.984","0.5385","0.1858","0.2024","0.0505","0.0228"
"Amherst Ex Vill SD, Lorain","45195.0","19.0","215.94","4102.88","3907.25","0.0094","0.0216","0.0037","0.1237","0.8067","0.0349","0.2536","0.0087","0.153","61891.32","0.1457","0.2065","0.6478","20.92","15.53","91912.6","257.66","129967.32","0.7926","0.1834","0.024","0.2074","129.97","5004.98","619.14","147158.6","412.0","37625.0","54693.0","70.1","37.36","39.36","5.2","0.0","0.7753","996.46","1637.65","5440.87","456.81","374.2","8906.0","4400.24","0.4496","4069.59","0.4158","884.09","0.0903","434.02","0.0443","9787.95","3444.02","0.7798","0.5911","0.2407","0.1221","0.0288","0.0174"
"Anna Local SD, Shelby","49759.0","68.0","18.03","1226.3","1223.22","0.0078","0.0031","0.0","0.0061","0.9646","0.0184","0.1356","0.0","0.1005","58951.91","0.0833","0.1806","0.7361","20.24","7.14","68497.62","169.06","115158.3","0.7615","0.215","0.0234","0.2385","115.16","2740.83","264.65","119586.01","283.0","40547.0","53728.0","33.1","22.64","26.9","5.5","1413.15","1.1292","1045.1","1609.49","5202.17","376.22","133.03","8366.0","4027.01","0.441","3658.59","0.4007","1109.85","0.1215","335.99","0.0368","9131.44","3521.41","1.1017","0.6078","0.2021","0.126","0.0472","0.0169"
