"District","IRN","District Square Mileage FY17","District Pupil Density FY17","District Total Average Daily Membership FY17","District Total Year-End Enrollment FY17","District Asian Students As % Of Total FY17","District Pacific Islander Students As % Of Total FY17","District Black Students As % Of Total FY17","District American Indian/ Alaskan Native Students As % Of Total FY17","District Hispanic Students As % Of Total FY17","District White Students As % Of Total FY17","District Multiracial Students As % Of Total FY17","District Percent Of Disadvantaged Students  FY17","District Percent Of Students With Limited English Proficiency FY17","District Percent Of Students With Disability FY17","District Classroom Teacher Average Salary FY17","District Percent Of Teachers With 0-4 Years Experience FY17","District Percent Of Teachers With 4-10 Years Experience FY17","District Percent Of Teachers With 10+ Years Experience FY17","District FTE Number Of Administrators FY17","District Administrator Average Salary FY17","District Pupil Administrator Ratio FY17","District Assessed Valuation Per Pupil FY18","District Res/Agr Real Valuation As % Of Total FY18","District All Other Real Valuation As % Of Total FY18","District Public Utility Tangible Valuation As % Of Total FY18","District Business Valuation As % Of Total FY18","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY18","District Total Property Tax Per Pupil FY18","District Rollback Homestead Per Pupil FY17","District OSFC 3-Year Valuation Per Pupil FY18","District Ranking Of OSFC Valuation Per Pupil FY18","District Median Income TY15","District Average Income TY15","District Current Operating Millage Incl JVS FY18","District Class 1 Effective Millage Incl JVS FY18","District Class 2 Effective Millage Incl JVS FY18","District Inside Millage FY18","District Income Tax Per Pupil FY17","District Local Tax Effort Index FY17","District Administrative Expenditure Per Pupil FY17","District Building Operation Expenditure Per Pupil FY17","District Instructional Expenditure Per Pupil FY17","District Pupil Support Expenditure Per Pupil FY17","District Staff Support Expenditure Per Pupil FY17","District Total Expenditure Per Pupil FY17","District State Revenue Per Pupil FY17","District State Revenue As % Of Total FY17","District Local Revenue Per Pupil FY17","District Local Revenue As % Of Total FY17","District Other Non-Tax Revenue Per Pupil FY17","District Othe Non-Tax Revenue as % of Total FY17","District Federal Revenue Per Pupil FY17","District Federal Revenue As % Of Total FY17","District Total Revenue Per Pupil FY17","District Formula Funding Per Pupil FY17","District Formula Funding As % Of Income Tax Liability FY17","District Salaries As % Of Operating Expenditures FY17","District Fringe Benefits As % Of Operating Expenditures FY17","District Purchased Services As % Of Operating Expenditures FY17","District Supplies & Materials As % Of Operating Expenditures FY17","District Other Expenses As % Of Operating Expenditures FY17"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ada Ex Vill SD, Hardin","45187.0","43.0","20.15","866.66","855.04","0.0082","0.0","0.0265","0.0028","0.0126","0.9324","0.0176","0.4163","0.0064","0.1111","54986.18","0.5862","0.0862","0.3276","11.7","56166.27","72.4","126093.59","0.8469","0.1176","0.0355","0.1531","126.09","2818.5","435.66","115107.16","187.0","32655.0","51438.0","38.5","21.7","22.18","5.9","2107.26","1.4965","1372.1","1641.04","6326.37","520.32","211.61","10071.46","6537.96","0.5068","4569.84","0.3543","1135.39","0.088","656.09","0.0509","12899.28","6158.27","2.0637","0.5472","0.2259","0.1612","0.021","0.0447"
"Adena Local SD, Ross","49494.0","128.0","9.7","1241.04","1211.81","0.0008","0.0","0.0094","0.0","0.0153","0.9426","0.0319","0.4576","0.0","0.1265","50920.0","0.1724","0.2299","0.5977","10.1","69351.69","118.44","117483.06","0.8778","0.0282","0.094","0.1222","117.48","2818.97","303.14","105765.12","144.0","35460.0","50444.0","38.0","22.36","28.26","4.1","27.98","0.8195","1338.12","1838.94","5419.71","274.4","167.65","9038.85","7514.04","0.6618","2169.24","0.1911","938.53","0.0827","732.16","0.0645","11353.97","6610.86","2.9047","0.5117","0.2379","0.1929","0.0397","0.0177"
"Akron City SD, Summit","43489.0","55.0","485.31","26692.23","21401.92","0.0757","0.0008","0.4613","0.0007","0.0377","0.3407","0.0831","1.0","0.073","0.1834","65137.5","0.385","0.1592","0.4558","138.5","77347.55","192.42","86593.24","0.6837","0.26","0.0563","0.3163","86.59","4827.36","556.04","80748.79","67.0","25772.0","39558.0","76.0","52.35","60.3","4.2","0.0","1.586","2017.19","2615.73","7948.66","1072.22","764.97","14418.77","9968.43","0.5605","5273.72","0.2965","731.82","0.0411","1812.21","0.1019","17786.18","5633.86","2.6989","0.4938","0.2256","0.2464","0.0242","0.01"
"Alexander Local SD, Athens","45906.0","174.0","9.19","1598.84","1492.44","0.0007","0.0","0.0034","0.0","0.004","0.9731","0.0189","0.4462","0.0","0.1833","56950.22","0.156","0.2385","0.6055","8.0","80925.13","191.63","150132.58","0.6871","0.0417","0.2712","0.3129","150.13","3927.07","347.78","126018.93","242.0","32944.0","57330.0","37.0","22.0","24.16","3.9","0.0","0.639","1475.66","2185.5","6000.84","734.38","288.76","10685.16","6905.57","0.5366","3389.06","0.2633","1348.04","0.1047","1226.72","0.0953","12869.39","6096.23","1.7843","0.5002","0.2037","0.2414","0.0374","0.0172"
"Allen East Local SD, Allen","45757.0","73.0","14.59","1065.22","1093.05","0.002","0.0012","0.0154","0.0","0.022","0.9568","0.0027","0.3292","0.0032","0.1055","55297.6","0.1833","0.2","0.6167","9.0","59180.22","115.12","126984.81","0.906","0.0243","0.0697","0.094","126.98","3126.03","457.66","112699.42","176.0","36196.0","53430.0","31.18","24.08","25.87","5.05","0.0","0.8281","1032.69","1904.59","4617.67","602.65","697.49","8855.1","6463.18","0.5919","2506.89","0.2296","1453.11","0.1331","496.8","0.0455","10919.98","6226.42","2.224","0.5306","0.2111","0.1997","0.0481","0.0105"
"Alliance City SD, Stark","43497.0","12.0","260.88","3130.56","2964.79","0.0034","0.0003","0.1189","0.0021","0.0328","0.7019","0.1407","1.0","0.0029","0.1778","56320.14","0.3915","0.1934","0.4151","24.9","72317.59","125.62","76238.17","0.6763","0.2421","0.0816","0.3237","76.24","2561.92","352.95","63698.81","28.0","25076.0","40706.0","55.0","30.13","36.1","3.8","0.0","0.7843","1405.86","2391.31","6529.17","540.26","469.06","11335.66","8920.77","0.6568","2404.71","0.1771","719.11","0.0529","1536.64","0.1131","13581.24","7160.38","3.6586","0.526","0.2009","0.2185","0.0454","0.0092"
"Amanda-Clearcreek Local SD, Fairfield","46847.0","98.0","15.46","1514.72","1489.0","0.002","0.0007","0.0049","0.0013","0.0079","0.974","0.0091","0.3509","0.0007","0.1253","50535.65","0.3482","0.1964","0.4554","15.0","68844.07","98.78","121184.81","0.9352","0.0349","0.0299","0.0648","121.18","2720.41","338.37","111752.31","171.0","36573.0","53227.0","37.0","22.0","22.0","4.7","1440.88","1.3359","1470.17","2344.99","6866.23","628.88","274.31","11584.56","7228.88","0.5599","3741.04","0.2897","1264.03","0.0979","677.91","0.0525","12911.86","6593.55","2.4993","0.4619","0.2068","0.2786","0.0319","0.0208"
"Amherst Ex Vill SD, Lorain","45195.0","19.0","202.6","3849.43","3682.66","0.0124","0.0003","0.0245","0.0025","0.1225","0.8091","0.0287","0.2114","0.0031","0.1268","65952.38","0.0939","0.1408","0.7653","15.3","93846.85","245.71","142884.81","0.7924","0.174","0.0335","0.2076","142.88","5494.84","695.6","149331.99","375.0","39185.0","59255.0","69.86","36.84","39.75","5.2","0.0","0.8596","1049.36","1862.08","5845.29","532.09","522.41","9811.23","4770.22","0.4345","4830.07","0.4399","1042.62","0.095","336.79","0.0307","10979.69","3649.07","0.8722","0.56","0.2084","0.1859","0.0288","0.0169"
"Anna Local SD, Shelby","49759.0","68.0","16.92","1150.61","1199.12","0.0055","0.0008","0.0017","0.0","0.01","0.9625","0.0195","0.1269","0.0018","0.1175","63004.87","0.1867","0.12","0.6933","8.1","80169.14","139.56","148526.0","0.7961","0.1803","0.0235","0.2039","148.53","3507.21","334.59","140681.16","334.0","43652.0","62468.0","33.1","22.27","28.31","5.5","1396.53","1.0959","1292.5","1658.19","5970.58","208.63","311.6","9441.48","5254.21","0.4486","4411.62","0.3767","1695.78","0.1448","349.69","0.0299","11711.3","5389.12","1.7118","0.5857","0.2099","0.1551","0.0373","0.0119"
