"District IRN","District Name","County","Region","Address","City and Zip Code","Phone #","Superintendent","Four Year Longitudinal Graduation Rate - Class of 2016","Letter Grade of 4 year Graduation Rate 2016","Four Year Graduation Rate Numerator - Class of 2016","Four Year Graduation Rate Denominator - Class of 2016","Four Year Graduation Rate - Similar District Average","Four Year Graduation Rate - Statewide Average","Watermark"
"000442","Manchester Local","Adams","Region 14","130 Wayne Frye Dr","Manchester, OH, 45144-9314","(937) 549-4777","Brian E. Rau","95.4","A","62","65","90.6","83.6",""
"043489","Akron City","Summit","Region 8","70 N Broadway St","Akron, OH, 44308-1911","(330) 761-1661","David W. James","74.3","F","1185","1595","74.8","83.6",""
"043497","Alliance City","Stark","Region 9","200 Glamorgan St","Alliance, OH, 44601-2946","(330) 821-2100","Jeffery S. Talbert","88.6","C","179","202","82.7","83.6",""
"043505","Ashland City","Ashland","Region 7","PO Box 160","Ashland, OH, 44805-0160","(419) 289-1117","Douglas J. Marrah","94.2","A","226","240","92.6","83.6",""
"043513","Ashtabula Area City","Ashtabula","Region 5","2630 W 13th St","Ashtabula, OH, 44004-2405","(440) 992-1201","Melissa D. Watson","78.6","F","217","276","84.8","83.6",""
"043521","Athens City","Athens","Region 16","25 S Plains Rd","The Plains, OH, 45780-1333","(740) 797-4516","Thomas J. Gibbs","89.1","B","179","201","93.6","83.6",""
"043539","Barberton City","Summit","Region 8","479 Norton Ave","Barberton, OH, 44203-1737","(330) 753-1025","Jeffrey M. Ramnytz","86.7","C","247","285","86.8","83.6",""
"043547","Bay Village City","Cuyahoga","Region 3","377 Dover Center Rd","Bay Village, OH, 44140-2304","(440) 617-7300","Clinton L. Keener","98.3","A","172","175","96.8","83.6",""
"043554","Beachwood City","Cuyahoga","Region 3","24601 Fairmount Blvd","Beachwood, OH, 44122-2298","(216) 464-2600","Robert P. Hardis","97.6","A","120","123","96.3","83.6",""
"043562","Bedford City","Cuyahoga","Region 3","475 Northfield Rd","Bedford, OH, 44146-2201","(440) 439-1500","Andrea Celico","84.0","C","247","294","85.0","83.6",""
"043570","Bellaire Local","Belmont","Region 12","340 34th St","Bellaire, OH, 43906-1589","(740) 676-1826","Darren C. Jenkins","83.1","D","74","89","92.2","83.6",""
"043588","Bellefontaine City","Logan","Region 6","820 Ludlow Rd","Bellefontaine, OH, 43311-1852","(937) 593-9060","Bradley J. Hall","93.8","A","165","176","91.0","83.6",""
"043596","Bellevue City","Huron","Region 2","125 North St","Bellevue, OH, 44811-1423","(419) 484-5000","Kim M. Schubert","96.2","A","153","159","93.8","83.6",""
"043604","Belpre City","Washington","Region 16","2014 Rockland Ave","Belpre, OH, 45714-1118","(740) 423-9511","Dwight A. Dunn","85.5","C","65","76","92.6","83.6",""
"043612","Berea City","Cuyahoga","Region 3","390 Fair St","Berea, OH, 44017-2308","(216) 898-8300","Michael R. Sheppard","91.7","B","486","530","92.5","83.6",""
"043620","Bexley City","Franklin","Region 11","348 S Cassingham Rd","Bexley, OH, 43209-1897","(614) 231-7611","Kimberly P. Miller","95.0","A","152","160","96.7","83.6",""
"043638","Bowling Green City School District","Wood","Region 1","137 Clough St","Bowling Green, OH, 43402-2901","(419) 352-3576","Francis R. Scruci","94.2","A","227","241","93.5","83.6",""
"043646","Brecksville-Broadview Heights City","Cuyahoga","Region 3","6638 Mill Rd","Brecksville, OH, 44141-1512","(440) 740-4000","Joelle M. Magyar","97.0","A","360","371","96.4","83.6",""
"043653","Brooklyn City","Cuyahoga","Region 3","9200 Biddulph Rd","Brooklyn, OH, 44144-2614","(216) 485-8100","Mark G. Gleichauf","91.5","B","118","129","91.3","83.6",""
"043661","Brunswick City","Medina","Region 8","3643 Center Rd","Brunswick, OH, 44212-3619","(330) 225-7731","Michael D. Mayell","95.0","A","550","579","93.7","83.6",""
"043679","Bryan City","Williams","Region 1","1350 Fountain Grove Dr","Bryan, OH, 43506-8733","(419) 636-6973","Diana L. Savage","93.7","A","118","126","93.8","83.6",""
"043687","Bucyrus City","Crawford","Region 7","170 Plymouth St","Bucyrus, OH, 44820-1627","(419) 562-4045","Kevin D. Kimmel","86.0","C","74","86","89.3","83.6",""
"043695","Cambridge City","Guernsey","Region 12","518 S 8th St","Cambridge, OH, 43725-8865","(740) 439-5021","Daniel A. Coffman","81.2","D","125","154","91.1","83.6",""
"043703","Campbell City","Mahoning","Region 5","280 6th St","Campbell, OH, 44405-1325","(330) 799-6726","Matthew L. Bowen","85.9","C","73","85","82.8","83.6",""
"043711","Canton City","Stark","Region 9","1312 5th St SW","Canton, OH, 44707-4657","(330) 438-2500","Adrian E. Allison","76.2","F","493","647","78.7","83.6",""
"043729","Celina City","Mercer","Region 6","585 E Livingston St","Celina, OH, 45822-1742","(419) 586-8300","Kenneth J. Schmiesing","91.9","B","181","197","93.3","83.6",""
"043737","Centerville City","Montgomery","Region 10","111 Virginia Ave","Centerville, OH, 45458-2249","(937) 433-8841","Thomas J. Henderson","95.1","A","674","709","95.7","83.6",""
"043745","Chillicothe City","Ross","Region 15","425 Yoctangee Pkwy","Chillicothe, OH, 45601-1663","(740) 775-4250","Jon C. Saxton","83.8","D","218","260","85.3","83.6",""
"043752","Cincinnati City","Hamilton","Region 13","PO Box 5381","Cincinnati, OH, 45201-5381","(513) 363-0000","Catherine L. Mitchell","72.8","F","1584","2176","73.1","83.6",""
"043760","Circleville City","Pickaway","Region 11","388 Clark Dr","Circleville, OH, 43113-1517","(740) 474-4340","Jonathan E. Davis","94.0","A","156","166","88.0","83.6",""
"043778","Claymont City","Tuscarawas","Region 12","201 N 3rd St","Dennison, OH, 44621-1237","(740) 922-5478","John A. Rocchi","88.0","C","139","158","91.7","83.6",""
"043786","Cleveland Municipal","Cuyahoga","Region 3","1111 Superior Ave E","Cleveland, OH, 44114-2522","(216) 574-8000","Eric S. Gordon","72.1","F","1937","2687","73.4","83.6",""
"043794","Cleveland Heights-University Heights City","Cuyahoga","Region 3","2155 Miramar Blvd","University Heights, OH, 44118-3301","(216) 371-7171","Talisa L. Dixon","85.6","C","334","390","91.2","83.6",""
"043802","Columbus City","Franklin","Region 11","1091 King Ave","Columbus, OH, 43212-2204","(614) 365-5000","James D. Good","74.1","F","2191","2955","72.7","83.6",""
