IRN,County,Attendance 2012-13,Attendance 2010-11,Other Elem-Sec,Attendance 2011-12,District Class 2 Effective Millage Incl JVS FY14,District Percent Of Students In Poverty FY13,District Local Revenue As % Of Total FY13,Performance Index Score 2012-13,District Average Income TY11,Adult Ed,District Median Income TY11,County Mortality Rate,County Mortality Category
043489,Summit,93.8,94.0,65.99897699996944,94.0,61.92,0.9998,0.2917,84.552,36847.0,29.773704881563983,24287.0,20.39,med
043497,Stark,93.8,94.0,180.8606411025403,94.2,36.27,0.7782,0.1945,90.880,36528.0,243.64487368599012,23491.0,14.48,med
043505,Ashland,94.6,94.9,176.3765813862192,95.1,42.04,0.431,0.4279,101.088,44827.0,0.0,28316.0,8.00,low
043513,Ashtabula,93.7,93.8,84.41128143019364,94.2,28.12,0.7278,0.2204,88.953,39707.0,5.500611709695412,25084.0,20.10,med
043521,Athens,94.5,95.1,132.7319190030242,95.3,30.0,0.3551,0.5324,96.631,48976.0,0.0,27223.0,16.71,med
043539,Summit,92.6,93.3,198.82311675495055,93.2,41.88,0.7081,0.2336,92.483,35397.0,0.0,25674.0,20.39,med
043547,Cuyahoga,96.3,96.3,216.91220738483264,96.4,57.64,0.0839,0.6864,107.864,99245.0,0.0,54934.0,18.81,med
043554,Cuyahoga,95.9,96.2,509.9517107456437,96.3,41.87,0.1079,0.6848,108.950,118809.0,0.0,52448.0,18.81,med
043562,Cuyahoga,95.0,95.1,182.40258963928866,95.3,47.97,0.6537,0.5604,89.641,39701.0,0.0,29699.0,18.81,med
043570,Belmont,93.6,94.2,99.14771418239957,94.1,21.55,0.6108,0.1356,97.949,40315.0,0.0,25895.0,12.96,med
043588,Logan,95.4,95.4,155.80383795750754,95.6,34.25,0.5327,0.2554,97.034,41590.0,0.0,25978.0,12.58,med
043596,Huron,95.2,94.5,272.9653349834685,95.0,34.56,0.4101,0.3716,98.096,44093.0,6.3428820642305075,30981.0,16.35,med
043604,Washington,94.3,94.2,215.6279315805904,94.2,26.38,0.5494,0.3064,90.511,41025.0,0.0,26233.0,14.82,med
043612,Cuyahoga,95.1,95.3,159.2191232296366,95.5,51.55,0.3472,0.6111,101.470,46235.0,176.31583794271756,33476.0,18.81,med
043620,Franklin,95.3,95.6,378.043684826486,95.4,68.02,0.1144,0.7555,106.240,134405.0,0.0,62943.0,15.84,med
043638,Wood,95.4,95.7,123.01527948660285,95.6,34.59,0.3004,0.5825,103.270,45643.0,0.0,27981.0,8.78,low
043646,Cuyahoga,95.8,95.9,246.2093101651504,95.9,41.05,0.0912,0.6563,107.982,88773.0,0.0,47108.0,18.81,med
043653,Cuyahoga,94.8,95.0,233.87183433529694,95.2,39.12,0.5593,0.6351,95.704,37917.0,0.0,28487.0,18.81,med
043661,Medina,95.6,95.5,147.60774456542939,95.5,38.49,0.2854,0.5031,103.968,53431.0,0.0,38468.0,8.13,low
043679,Williams,95.2,95.6,300.49034321473243,95.2,34.48,0.4365,0.4557,100.359,45393.0,0.0,27791.0,7.08,low
043687,Crawford,94.5,93.9,211.50109124665832,94.2,39.11,0.6871,0.2402,90.005,33167.0,0.0,23984.0,19.25,med
043695,Guernsey,94.0,94.6,152.27496743537435,94.6,29.28,0.6314,0.2362,94.213,38825.0,6.989640572596661,23998.0,17.58,med
043703,Mahoning,93.2,94.0,212.45838198376472,94.9,37.91,0.8202,0.1247,89.911,36373.0,0.0,22319.0,19.91,med
043711,Stark,93.1,93.7,202.04356386828127,93.6,56.99,0.8348,0.2182,84.473,30044.0,172.06070078860552,20744.0,14.48,med
043729,Mercer,95.3,95.6,239.74373088210794,95.5,34.19,0.4189,0.435,101.106,42427.0,4.901442514069842,29282.0,9.40,low
043737,Montgomery,95.9,95.8,52.21290493151403,96.1,39.84,0.1636,0.6467,105.975,83289.0,0.0,45614.0,35.30,high
043745,Ross,93.3,94.0,145.89005443699773,94.0,32.71,0.6441,0.298,93.981,41560.0,0.0,26877.0,25.74,high
043752,Hamilton,95.7,95.8,98.74909967646089,95.0,51.23,0.7178,0.4676,87.515,53529.0,24.55942055145609,28294.0,24.93,high
043760,Pickaway,93.3,94.4,261.08862198567033,94.2,42.59,0.4814,0.374,94.447,41952.0,0.0,26814.0,14.43,med
043778,Tuscarawas,95.3,95.4,179.32504735727167,95.7,25.73,0.6009,0.1526,98.330,37658.0,0.0,25559.0,9.13,low
043786,Cuyahoga,89.0,91.5,117.60662441032733,90.9,53.58,1.0,0.2399,74.424,33869.0,0.012333764035806225,22426.0,18.81,med
043794,Cuyahoga,94.6,94.9,187.06081224849206,94.8,82.85,0.668,0.6108,87.176,67849.0,3.7700710643619244,37911.0,18.81,med
043802,Franklin,92.4,94.4,85.11287577404697,94.3,50.33,0.7905,0.4666,79.179,41550.0,44.385363285412396,27064.0,15.84,med
043810,Ashtabula,94.7,94.8,151.92089724586285,95.1,24.16,0.6271,0.2016,94.917,35839.0,0.0,24554.0,20.10,med
043828,Coshocton,95.2,95.2,160.90855796486474,95.6,36.38,0.6472,0.2636,95.000,39770.0,0.0,23171.0,9.54,low
043836,Summit,94.8,95.3,146.15462895050996,95.1,45.95,0.4076,0.5339,98.306,45215.0,0.0,32361.0,20.39,med
043844,Montgomery,92.5,92.4,83.90693118725325,92.2,59.89,0.9418,0.22,75.507,32147.0,0.0,22394.0,35.30,high
043851,Hamilton,94.8,94.7,348.70528844680075,95.3,42.86,0.4564,0.5683,101.460,46546.0,0.0,34521.0,24.93,high
043869,Defiance,95.2,95.6,231.68119393710884,95.2,33.27,0.5356,0.2975,96.175,42528.0,0.0,28175.0,11.07,low
043877,Delaware,95.0,95.1,188.2045609845719,94.8,48.7,0.382,0.5476,100.013,49744.0,0.0,35966.0,7.31,low
043885,Allen,95.7,95.8,212.33921035462924,95.8,31.16,0.4257,0.3897,103.126,46286.0,0.0,31063.0,11.16,low
043893,Tuscarawas,96.3,96.2,325.7723550198281,96.4,45.36,0.3502,0.4805,101.633,50255.0,0.0,30578.0,9.13,low
043901,Cuyahoga,91.0,91.2,147.0649099206287,92.1,65.28,0.9167,0.1352,74.804,29101.0,13.081387587220279,19767.0,18.81,med
043919,Columbiana,94.2,93.2,129.3687836948944,93.0,30.5,0.7409,0.1374,88.931,37412.0,1.1554320349788707,25589.0,14.84,med
043927,Columbiana,94.2,94.6,206.3757867279637,94.4,22.1,0.5074,0.1982,94.324,42458.0,0.0,29672.0,14.84,med
043935,Preble,94.8,94.7,256.16480563110537,95.0,23.85,0.3978,0.4316,98.389,45057.0,0.0,30388.0,19.71,med
043943,Lorain,94.4,94.3,124.38271400018017,94.4,46.84,0.5418,0.3585,91.280,38418.0,0.0,26631.0,17.43,med
043950,Cuyahoga,93.7,94.0,105.79614626931924,94.1,77.2,0.7254,0.5318,79.469,37436.0,13.370002123763195,27577.0,18.81,med
043968,Greene,94.5,94.8,121.95542950612165,94.8,32.96,0.5617,0.4385,93.516,43979.0,0.0,27119.0,18.27,med
043976,Cuyahoga,94.8,95.6,188.31671293911828,95.9,57.67,0.2593,0.6994,100.717,57390.0,0.0,37895.0,18.81,med
043984,Hancock,95.6,95.6,136.80427488218967,95.5,46.23,0.4311,0.4095,98.605,52665.0,0.0,29765.0,10.04,low
043992,Seneca,93.6,94.1,158.99372646449893,94.1,50.32,0.775,0.2836,89.281,34262.0,52.248825140192075,23858.0,12.74,med
044008,Warren,94.6,94.7,197.8415371502984,94.9,32.77,0.478,0.3848,97.943,42484.0,0.0,29890.0,13.71,med
044016,Sandusky,95.4,94.9,171.95435772910432,95.1,23.19,0.6131,0.4316,94.878,41420.0,0.0,28375.0,14.34,med
044024,Crawford,95.6,95.8,229.4153634092738,96.1,42.29,0.5727,0.2385,95.287,38555.0,0.0,26989.0,19.25,med
044032,Gallia,94.4,94.0,198.9140476702086,94.5,22.04,0.4889,0.2131,98.692,46007.0,0.0,27764.0,21.00,med
044040,Cuyahoga,93.6,93.6,103.0443979734798,93.6,51.47,0.7039,0.3659,83.241,36909.0,0.0,28263.0,18.81,med
044057,Ashtabula,94.3,94.6,190.25699866074527,94.4,23.69,0.5102,0.2767,101.248,45894.0,0.0,28789.0,20.10,med
044065,Trumbull,93.7,93.9,155.75412633123125,93.7,31.73,0.5608,0.2353,102.623,37815.0,0.0,25059.0,21.98,med
044073,Franklin,95.9,95.9,730.6957267889651,96.3,59.62,0.1439,0.6175,108.162,86924.0,0.0,46848.0,15.84,med
044081,Hamilton,94.0,94.7,142.17461287172728,94.7,62.91,0.6649,0.4705,88.887,47808.0,0.0,32066.0,24.93,high
044099,Darke,94.5,94.5,163.1047889904668,94.7,29.54,0.4702,0.4003,96.275,39893.0,37.45944086663689,26748.0,15.00,med
044107,Butler,94.7,94.7,89.22190543459078,95.0,29.32,0.6906,0.2013,91.501,37887.0,33.94508128068764,26391.0,27.67,high
044115,Licking,94.8,95.4,223.64386786780238,95.2,32.17,0.4173,0.4754,98.440,43695.0,0.0,30290.0,12.90,med
044123,Highland,94.1,94.2,168.9264338070563,94.6,24.92,0.6166,0.2978,94.333,38568.0,0.0,25036.0,21.95,med
044131,Erie,94.6,94.8,367.03767902812893,94.4,45.3,0.3008,0.5734,103.354,62368.0,0.0,36300.0,17.94,med
044149,Lawrence,95.1,94.9,288.8564324141012,94.9,22.22,0.6397,0.1649,97.392,39503.0,0.0,25369.0,18.64,med
044156,Jackson,94.7,94.6,172.60787155222582,94.6,23.12,0.5296,0.1888,100.396,45590.0,0.0,29404.0,25.51,high
044164,Portage,94.9,94.9,231.14854419391858,95.0,50.79,0.4215,0.4617,99.097,46267.0,13.418101035905726,27062.0,13.67,med
044172,Hardin,94.8,94.6,259.8990140500214,94.9,25.26,0.6232,0.3297,96.510,39027.0,0.0,26445.0,15.28,med
044180,Montgomery,96.0,95.7,117.20093881275452,96.0,53.36,0.4214,0.6059,103.412,55036.0,24.552971663042168,33431.0,35.30,high
044198,Cuyahoga,95.2,94.7,150.64653314415798,95.4,62.29,0.5167,0.5233,98.616,48468.0,19.501885501917595,31707.0,18.81,med
044206,Fairfield,94.7,94.9,174.03883650742225,95.1,24.46,0.5472,0.4803,99.513,43320.0,0.0,28369.0,11.12,low
044214,Warren,95.9,95.9,97.46282599292383,95.9,32.52,0.2446,0.4771,103.415,61043.0,0.0,38284.0,13.71,med
044222,Allen,93.6,94.4,367.03712360412925,94.2,32.96,0.8054,0.1486,78.541,30718.0,82.68705076563498,20514.0,11.16,low
044230,Hamilton,93.6,94.3,298.59943522783897,94.8,46.21,0.7931,0.3327,84.981,34248.0,0.0,21888.0,24.93,high
044248,Hocking,94.6,95.1,113.49717804481261,95.2,22.11,0.6018,0.2359,97.165,40885.0,0.0,28156.0,18.35,med
044255,Madison,93.8,94.3,175.465072621978,94.3,26.41,0.4634,0.4195,94.277,53474.0,18.46798594563131,31445.0,14.99,med
044263,Lorain,91.9,93.0,99.36241264122266,92.0,50.15,0.8504,0.1481,80.457,32971.0,0.0,22565.0,17.43,med
044271,Hamilton,95.6,95.4,186.74589112349375,95.8,40.98,0.1522,0.5754,104.963,94703.0,0.0,50879.0,24.93,high
044289,Hamilton,96.2,96.3,255.56279005059926,96.6,58.55,0.0779,0.6872,112.051,91342.0,0.46911068497687636,54259.0,24.93,high
044297,Richland,93.7,94.5,104.3559526292418,94.3,43.77,0.8259,0.2212,83.963,34526.0,138.07448774668822,21833.0,17.74,med
044305,Cuyahoga,92.5,92.6,100.33029439299251,92.5,47.32,0.7751,0.2898,78.780,34489.0,1.7199887061989871,27367.0,18.81,med
044313,Hamilton,95.7,95.4,400.4161093428478,95.9,68.48,0.0832,0.686,108.560,111470.0,0.4184535693758287,49664.0,24.93,high
044321,Washington,95.2,95.3,173.83286682288502,95.3,33.95,0.5248,0.4366,94.815,46965.0,0.0,28011.0,14.82,med
044339,Marion,93.5,93.6,147.32002178072656,93.5,30.09,0.9928,0.1582,85.304,32884.0,1.9785367345017748,24147.0,21.70,med
044347,Belmont,94.8,95.0,154.3312699048955,94.8,27.06,0.5032,0.1498,98.883,40969.0,0.0,25536.0,12.96,med
044354,Stark,94.4,94.6,286.5337526724534,94.8,45.83,0.6634,0.3044,95.031,36321.0,18.45905839771284,25669.0,14.48,med
044362,Lucas,95.6,95.6,220.26970782405994,95.6,57.61,0.3342,0.6066,102.051,49517.0,0.06327353848057636,33078.0,22.77,med
044370,Cuyahoga,95.2,95.2,192.4460884655859,95.1,45.75,0.2118,0.7257,102.739,85550.0,13.404686287944564,38508.0,18.81,med
044388,Medina,95.6,95.9,156.01781370351995,95.7,42.51,0.1815,0.5693,102.783,68974.0,0.0,43326.0,8.13,low
044396,Montgomery,95.6,95.1,122.55539839132949,95.6,41.04,0.3931,0.5566,99.785,53938.0,0.0,35543.0,35.30,high
044404,Butler,94.3,94.2,106.57182228186649,94.6,45.77,0.7076,0.361,88.454,37713.0,23.35577209942043,24577.0,27.67,high
044412,Hamilton,94.1,94.6,167.87693340811245,95.1,46.13,0.8038,0.2764,83.327,39766.0,0.0,28939.0,24.93,high
044420,Knox,94.8,94.8,134.54239018243072,95.1,31.04,0.4613,0.371,98.712,48189.0,0.0,29259.0,12.62,med
044438,Henry,96.1,95.9,243.69942515513338,95.9,44.43,0.4183,0.3417,100.470,46821.0,0.0,31884.0,8.79,low
044446,Athens,94.0,94.1,73.60949569005365,94.1,22.84,0.6308,0.1379,97.761,32559.0,0.0,22377.0,16.71,med
044453,Licking,94.6,94.8,78.94296334307367,94.7,29.71,0.6201,0.4087,97.767,38852.0,0.0,25108.0,12.90,med
044461,Scioto,94.1,94.4,197.23883427625407,94.8,34.86,0.8307,0.1398,85.444,26819.0,0.0,17500.0,29.13,high
044479,Perry,94.6,94.4,82.89988017946686,94.4,23.95,0.6051,0.1402,90.721,38045.0,0.0,28093.0,11.12,low
044487,Tuscarawas,94.7,95.1,207.41656613036878,95.1,32.98,0.4484,0.4425,99.001,48689.0,0.0,28154.0,9.13,low
044495,Trumbull,92.6,93.1,148.49310843320507,93.1,37.62,0.6558,0.2658,95.505,37347.0,0.0,25549.0,21.98,med
044503,Stark,95.8,96.3,189.92920651276202,96.4,46.96,0.1992,0.5137,106.644,62427.0,0.3168276938099969,37789.0,14.48,med
044511,Hamilton,93.8,94.0,151.06987943668506,94.8,36.63,0.702,0.2476,84.385,35749.0,0.0,28285.0,24.93,high
044529,Cuyahoga,95.3,95.5,255.2523602460204,95.7,58.09,0.3977,0.6421,101.566,50408.0,0.0,35124.0,18.81,med
044537,Lorain,94.9,95.9,150.73114291618396,96.0,38.19,0.2481,0.5403,100.690,55539.0,0.0,42511.0,17.43,med
044545,Cuyahoga,95.7,95.7,148.60787020733693,95.8,40.71,0.1792,0.7145,105.440,65958.0,0.0,40212.0,18.81,med
044552,Summit,94.7,95.2,194.6357279552081,95.3,41.94,0.3212,0.3635,102.402,48745.0,1.4861500799281777,35812.0,20.39,med
044560,Huron,94.7,94.5,165.93622306404745,94.6,23.83,0.5122,0.3121,98.029,43586.0,42.97851233874473,27499.0,16.35,med
044578,Hamilton,94.3,94.0,142.29193146988467,94.3,45.48,0.7101,0.486,97.098,37170.0,0.0,27090.0,24.93,high
044586,Montgomery,96.1,96.2,368.0288094971854,96.3,93.04,0.0444,0.5837,110.750,137284.0,0.0,61231.0,35.30,high
044594,Lorain,94.9,94.9,302.7608263164901,94.9,27.92,0.4623,0.5641,97.315,53854.0,0.0,31250.0,17.43,med
044602,Lucas,95.1,94.9,227.8703967810049,95.2,49.68,0.4194,0.4678,97.007,51081.0,27.460863786783452,34523.0,22.77,med
044610,Wayne,95.4,95.6,215.4499877218052,95.6,49.31,0.4969,0.4265,100.280,44289.0,0.0,30160.0,9.42,low
044628,Lake,95.9,95.6,119.95400810780691,95.3,59.24,0.8725,0.2295,83.587,32973.0,4.259059647304037,24244.0,15.73,med
044636,Cuyahoga,94.3,94.7,143.79144542182965,94.8,51.82,0.4006,0.6091,95.873,43058.0,86.73765817315804,31460.0,18.81,med
044644,Miami,95.1,95.3,158.65036825449928,95.0,30.15,0.5437,0.4292,95.253,40181.0,0.0,26684.0,14.71,med
044651,Ottawa,95.8,95.6,309.4797290030827,95.6,27.88,0.4668,0.6205,97.202,49923.0,0.0,28291.0,9.96,low
044669,Scioto,94.7,94.1,124.68999030137518,94.9,22.2,0.7826,0.1476,87.453,43630.0,0.0,22815.0,29.13,high
044677,Hamilton,94.7,95.1,150.79594898928815,95.3,40.11,0.6407,0.5642,95.029,58719.0,1.0056610295504578,33125.0,24.93,high
044685,Portage,93.4,93.4,202.29958719932122,93.4,41.44,0.6608,0.3397,93.244,38173.0,0.0,27585.0,13.67,med
044693,Hamilton,94.5,95.3,183.23931708452386,94.5,58.64,0.5448,0.4524,100.373,41575.0,0.0,29255.0,24.93,high
044701,Cuyahoga,96.3,96.4,363.528919030287,96.5,58.09,0.1142,0.7598,111.542,87318.0,0.0,44116.0,18.81,med
044719,Hamilton,93.9,93.6,198.40615872087614,94.4,58.74,0.7713,0.3222,91.986,37824.0,0.0,26696.0,24.93,high
044727,Auglaize,95.7,95.9,199.37437024795236,96.1,34.91,0.4557,0.3125,101.447,43183.0,17.284594947070996,31176.0,7.75,low
044735,Columbiana,94.2,94.6,234.00178084088859,94.3,31.14,0.5292,0.4142,98.785,44174.0,295.8164153869954,27222.0,14.84,med
044743,Erie,94.2,93.7,225.24381174947158,94.0,52.96,0.8066,0.3864,86.808,35117.0,274.36470872464713,21241.0,17.94,med
044750,Cuyahoga,95.9,95.8,158.68735730814151,96.1,112.61,0.3578,0.6786,100.310,111619.0,0.0,44696.0,18.81,med
044768,Lorain,95.0,94.8,261.6039693850502,95.0,37.5,0.3985,0.5106,98.614,48636.0,0.0,34762.0,17.43,med
044776,Richland,95.8,96.2,255.94827937308807,96.0,38.85,0.458,0.3832,101.873,42182.0,0.0,29099.0,17.74,med
044784,Shelby,94.6,95.3,138.31101398037586,95.1,35.84,0.5786,0.3461,92.455,43993.0,0.0,28044.0,14.47,med
044792,Cuyahoga,95.0,94.5,223.43553592337562,94.9,60.37,0.5126,0.685,91.682,57392.0,0.0,37515.0,18.81,med
044800,Franklin,94.1,94.3,117.83239772939451,94.4,50.64,0.5731,0.4008,93.539,44836.0,12.5796842833458,31769.0,15.84,med
044818,Clark,93.6,93.2,90.4506011860943,93.8,42.81,0.9967,0.2048,83.218,34544.0,23.589888841902457,22442.0,24.20,high
044826,Jefferson,94.3,94.8,211.11422646532765,94.8,23.46,0.6639,0.1416,98.521,37443.0,0.0,22789.0,25.32,high
044834,Summit,95.7,95.7,152.3453183541154,95.8,42.97,0.2237,0.5718,102.847,61262.0,0.0,39792.0,20.39,med
044842,Cuyahoga,94.5,95.9,211.41277781392415,95.9,41.67,0.1821,0.6424,101.120,69978.0,0.0,43059.0,18.81,med
044859,Mahoning,94.0,94.5,220.2369875702252,94.4,46.97,0.6009,0.2121,96.444,35966.0,0.0,24927.0,19.91,med
044867,Hamilton,96.1,96.2,189.30872722442425,96.5,43.63,0.1654,0.688,108.699,129757.0,0.0,51335.0,24.93,high
044875,Lucas,96.0,96.2,153.1632433103292,96.2,47.59,0.2012,0.6495,103.957,83235.0,5.5164548671100215,42495.0,22.77,med
044883,Summit,95.3,95.6,245.2595418061299,95.4,50.18,0.23,0.5151,103.237,54046.0,0.0,35896.0,20.39,med
044891,Seneca,95.7,96.1,202.73728234145432,96.0,47.6,0.5108,0.3799,99.934,39939.0,0.0,27642.0,12.74,med
044909,Lucas,93.8,94.6,253.90598470991713,94.3,52.98,0.773,0.2359,81.901,35489.0,43.42668732165034,24267.0,22.77,med
044917,Jefferson,93.5,93.5,279.3445971127522,94.0,32.01,0.6182,0.1869,92.980,40615.0,0.0,28274.0,25.32,high
044925,Miami,95.9,95.8,48.55598557935074,95.9,34.34,0.4596,0.5201,101.933,53561.0,0.0,34042.0,14.71,med
044933,Franklin,95.8,95.9,236.5022791907859,96.1,49.37,0.0191,0.7585,107.180,124020.0,0.0,60889.0,15.84,med
044941,Champaign,94.5,94.9,240.33626899763516,94.9,45.9,0.5169,0.3442,96.300,43252.0,0.0,27276.0,15.28,med
044958,Montgomery,95.8,96.0,133.1869324076788,96.0,37.4,0.3159,0.5498,102.989,59302.0,0.0,34764.0,35.30,high
044966,Van Wert,96.7,96.3,178.03232131553037,96.5,43.92,0.5118,0.3256,98.883,40130.0,0.0,27849.0,10.61,low
044974,Medina,96.0,95.8,163.76842296897792,96.0,35.55,0.2238,0.4481,105.953,57141.0,0.003952923289990816,37720.0,8.13,low
